2018rank,City,State[c],2018estimate,2010Census,Change,2016 land area,2016 population density,Location,City Link
1,New York City, New York,"8,398,748","8,175,133",+2.74%,301.5 sq mi,"28,317/sq mi",40°39′49′′N 73°56′19′′W,https://en.wikipedia.org/wiki/New_York_City
2,Los Angeles, California,"3,990,456","3,792,621",+5.22%,468.7 sq mi,"8,484/sq mi",34°01′10′′N 118°24′39′′W,https://en.wikipedia.org/wiki/Los_Angeles
3,Chicago, Illinois,"2,705,994","2,695,598",+0.39%,227.3 sq mi,"11,900/sq mi",41°50′15′′N 87°40′54′′W,https://en.wikipedia.org/wiki/Chicago
4,Houston, Texas,"2,325,502","2,100,263",+10.72%,637.5 sq mi,"3,613/sq mi",29°47′12′′N 95°23′27′′W,https://en.wikipedia.org/wiki/Houston
5,Phoenix, Arizona,"1,660,272","1,445,632",+14.85%,517.6 sq mi,"3,120/sq mi",33°34′20′′N 112°05′24′′W,"https://en.wikipedia.org/wiki/Phoenix,_Arizona"
6,Philadelphia, Pennsylvania,"1,584,138","1,526,006",+3.81%,134.2 sq mi,"11,683/sq mi",40°00′34′′N 75°08′00′′W,https://en.wikipedia.org/wiki/Philadelphia
7,San Antonio, Texas,"1,532,233","1,327,407",+15.43%,461.0 sq mi,"3,238/sq mi",29°28′21′′N 98°31′30′′W,https://en.wikipedia.org/wiki/San_Antonio
8,San Diego, California,"1,425,976","1,307,402",+9.07%,325.2 sq mi,"4,325/sq mi",32°48′55′′N 117°08′06′′W,https://en.wikipedia.org/wiki/San_Diego
9,Dallas, Texas,"1,345,047","1,197,816",+12.29%,340.9 sq mi,"3,866/sq mi",32°47′36′′N 96°45′59′′W,https://en.wikipedia.org/wiki/Dallas
10,San Jose, California,"1,030,119","945,942",+8.90%,177.5 sq mi,"5,777/sq mi",37°17′48′′N 121°49′08′′W,"https://en.wikipedia.org/wiki/San_Jose,_California"
11,Austin, Texas,"964,254","790,390",+22.00%,312.7 sq mi,"3,031/sq mi",30°18′14′′N 97°45′16′′W,"https://en.wikipedia.org/wiki/Austin,_Texas"
12,Jacksonville, Florida,"903,889","821,784",+9.99%,747.4 sq mi,"1,178/sq mi",30°20′13′′N 81°39′42′′W,"https://en.wikipedia.org/wiki/Jacksonville,_Florida"
13,Fort Worth, Texas,"895,008","741,206",+20.75%,342.9 sq mi,"2,491/sq mi",32°46′53′′N 97°20′48′′W,"https://en.wikipedia.org/wiki/Fort_Worth,_Texas"
14,Columbus, Ohio,"892,533","787,033",+13.40%,218.5 sq mi,"3,936/sq mi",39°59′07′′N 82°59′05′′W,"https://en.wikipedia.org/wiki/Columbus,_Ohio"
15,San Francisco, California,"883,305","805,235",+9.70%,46.9 sq mi,"18,569/sq mi",37°43′38′′N 123°01′56′′W,https://en.wikipedia.org/wiki/San_Francisco
16,Charlotte, North Carolina,"872,498","731,424",+19.29%,305.4 sq mi,"2,757/sq mi",35°12′28′′N 80°49′52′′W,"https://en.wikipedia.org/wiki/Charlotte,_North_Carolina"
17,Indianapolis, Indiana,"867,125","820,445",+5.69%,361.5 sq mi,"2,366/sq mi",39°46′36′′N 86°08′45′′W,https://en.wikipedia.org/wiki/Indianapolis
18,Seattle, Washington,"744,955","608,660",+22.39%,83.8 sq mi,"8,405/sq mi",47°37′14′′N 122°21′03′′W,https://en.wikipedia.org/wiki/Seattle
19,Denver, Colorado,"716,492","600,158",+19.38%,153.3 sq mi,"4,521/sq mi",39°45′43′′N 104°52′52′′W,https://en.wikipedia.org/wiki/Denver
20,"Washington, D.C.", District of Columbia,"702,455","601,723",+16.74%,61.1 sq mi,"11,148/sq mi",38°54′15′′N 77°01′02′′W,"https://en.wikipedia.org/wiki/Washington,_D.C."
21,Boston, Massachusetts,"694,583","617,594",+12.47%,48.3 sq mi,"13,938/sq mi",42°19′55′′N 71°01′13′′W,https://en.wikipedia.org/wiki/Boston
22,El Paso, Texas,"682,669","649,121",+5.17%,256.8 sq mi,"2,660/sq mi",31°50′54′′N 106°25′37′′W,"https://en.wikipedia.org/wiki/El_Paso,_Texas"
23,Detroit, Michigan,"672,662","713,777",−5.76%,138.8 sq mi,"4,847/sq mi",42°22′59′′N 83°06′08′′W,https://en.wikipedia.org/wiki/Detroit
24,Nashville, Tennessee,"669,053","601,222",+11.28%,475.9 sq mi,"1,388/sq mi",36°10′18′′N 86°47′06′′W,"https://en.wikipedia.org/wiki/Nashville,_Tennessee"
25,Portland, Oregon,"653,115","583,776",+11.88%,133.5 sq mi,"4,793/sq mi",45°32′13′′N 122°39′00′′W,"https://en.wikipedia.org/wiki/Portland,_Oregon"
26,Memphis, Tennessee,"650,618","646,889",+0.58%,317.4 sq mi,"2,056/sq mi",35°06′10′′N 89°58′39′′W,"https://en.wikipedia.org/wiki/Memphis,_Tennessee"
27,Oklahoma City, Oklahoma,"649,021","579,999",+11.90%,606.3 sq mi,"1,053/sq mi",35°28′02′′N 97°30′49′′W,https://en.wikipedia.org/wiki/Oklahoma_City
28,Las Vegas, Nevada,"644,644","583,756",+10.43%,134.4 sq mi,"4,709/sq mi",36°13′45′′N 115°15′36′′W,https://en.wikipedia.org/wiki/Las_Vegas
